"subject","condition","intended_hitrate","intended_falsealarmrate","actual_hitrate","actual_falsealarmrate","finalscore","colorbox_screentime","colorbox_averagescreentime","movingbox_screentime","switch1cnt","switch2cnt","switch3cnt","switch4cnt","totalswitches","switchback1cnt","switchback2cnt","switchback3cnt","switchback4cnt","falsealarmcnt","hitcnt","misscnt","falsealarmcount_1","falsealarmcount_2","falsealarmcount_3","falsealarmcount_4","hitcnt_1","hitcnt_2","hitcnt_3","hitcnt_4","misscnt_1","misscnt_2","misscnt_3","misscnt_4","averageRT_tosound","noswitchcnt_tosound","switchcnt_tosound","switchcnt_extra","critcnt","noncritcnt","totaltrials","totaltime","averagefiller","switchcnt_tosound_1","switchcnt_tosound_2","switchcnt_tosound_3","switchcnt_tosound_4","switchcnt_extra_1","switchcnt_extra_2","switchcnt_extra_3","switchcnt_extra_4","noswitchcnt_tosound_1","noswitchcnt_tosound_2","noswitchcnt_tosound_3","noswitchcnt_tosound_4","averageRT_tosound_1","averageRT_tosound_2","averageRT_tosound_3","averageRT_tosound_4"
"221","C","75","5",0.766666666666667,0.0579710144927536,18537,131129.500400002,2048.89844375003,2268992.7788,16,20,21,7,64,17,18,22,7,4,46,14,1,0,1,2,7,18,11,10,3,4,3,4,2298.46480222222,5,45,19,60,69,129,2400977.3281,7860.46511627907,6,16,12,11,7,4,3,5,2,2,0,1,4372.75009999997,1918.60974374998,1959.86210000003,2088.93767272725
"222","C","75","5",0.830188679245283,0.0476190476190476,17588,99475.6893999998,2688.53214594594,2300641.5895,0,4,19,14,37,0,4,19,14,3,44,9,1,1,1,0,11,9,14,10,3,2,2,2,4760.53544736843,28,19,18,53,63,116,2400635.3085,7396.55172413793,9,6,1,3,4,2,7,5,3,4,14,7,4411.58566666668,5378.47431666672,1597.09129999997,5625.98843333327
"223","A","91","15",0.909090909090909,0.161290322580645,20632,53409.0550999994,702.750724999991,2345698.166,10,42,7,17,76,14,50,3,9,10,60,6,2,2,5,1,17,14,15,14,2,0,2,2,6872.00322203391,11,59,17,66,62,128,2400119.279,7343.75,19,14,17,8,5,3,3,7,0,2,3,7,7476.00656315789,4710.76944285713,6603.55415882356,8831.75512500003
"225","D","67","3",0.65,0.0454545454545455,13652,266502.243299999,3461.06809480518,2132603.9777,10,28,18,21,77,10,30,17,20,3,39,21,1,1,1,0,12,10,10,7,7,4,7,3,1033.13602051281,3,39,38,60,66,126,2400146.2805,7714.28571428571,13,10,11,5,24,5,3,6,0,1,0,2,932.207161538462,965.255229999975,1084.97114545454,1317.27535999999
"226","A","91","15",0.888888888888889,0.1,20131,165649.474999999,2238.50641891891,2233454.7459,2,11,39,22,74,1,10,41,22,7,64,8,1,2,1,3,15,20,10,19,2,3,1,2,1337.55537183099,0,71,3,72,70,142,2400167.2817,7612.67605633803,16,22,11,22,0,1,1,1,0,0,0,0,1513.21154375001,1320.2573318182,1258.07194545461,1266.84518181814
"227","C","75","5",0.835616438356164,0.0666666666666667,18092,81499.6610999998,799.016285294115,2317604.5598,23,20,20,39,102,23,20,19,40,5,61,12,0,2,0,3,11,21,17,12,7,5,0,0,1597.36409999999,0,66,36,73,75,148,2400411.2957,7750,11,23,17,15,18,10,5,3,0,0,0,0,1879.38021818182,1535.00086521738,1656.56535294116,1419.08115333333
"229","D","67","3",0.705882352941177,0.03125,21138,24889.4239999998,888.907999999993,2374213.7969,5,9,10,4,28,5,9,10,4,2,36,15,1,0,1,0,10,9,8,9,6,4,3,2,6700.78324666669,23,15,13,51,64,115,2400088.2772,7286.95652173913,3,2,3,6,5,4,4,1,8,7,6,3,4817.27553333333,8519.48730000004,8051.46053333332,5138.46051666672
"230","C","75","5",0.716666666666667,0.0285714285714286,15631,135000.722000001,1985.30473529413,2264106.4991,2,5,23,38,68,8,7,22,31,2,43,17,0,0,1,1,12,11,12,8,6,2,2,7,3456.01585227271,1,44,24,60,70,130,2400043.2747,7496.18320610687,11,11,13,9,10,7,4,3,1,0,0,0,6287.54144545455,2008.75125454546,3166.87343076925,2181.79146666654
"232","A","91","15",0.863013698630137,0.0833333333333333,17618,144758.280000001,2097.94608695653,2255364.9992,42,5,0,22,69,50,3,3,13,5,63,10,1,1,1,2,17,17,15,14,2,4,1,3,1664.92855624999,20,48,21,73,60,133,2400774.3164,7458.64661654135,11,10,13,14,9,5,4,3,7,8,3,2,1849.56032727272,1239.67090000001,2075.04175384613,1442.79680714286
"234","A","91","15",0.91566265060241,0.138461538461538,21308,56719.2438999985,597.044672631563,2341367.9189,22,33,22,18,95,22,33,22,18,9,76,7,3,1,2,3,14,20,21,21,2,2,1,2,3929.10568928572,1,84,11,83,65,148,2400254.2867,7362.41610738255,16,21,23,24,7,1,0,3,1,0,0,0,3913.22381875,3898.31820476191,3885.96140434782,4007.97925833335
"235","D","67","3",0.583333333333333,0.0307692307692308,19084,97627.5833000014,2569.14692894741,2300463.5797,13,4,12,9,38,13,4,12,9,2,35,25,1,0,0,1,11,9,8,7,6,9,3,7,1521.11404324323,0,37,1,60,65,125,2400062.2758,7428.57142857143,12,9,8,8,1,0,0,0,0,0,0,0,1449.49959166666,1379.85669999999,1722.09849999999,1586.46577499996
"236","C","75","5",0.855072463768116,0.0149253731343284,20889,146895.401500001,1932.83423026317,2251194.7614,19,18,17,22,76,19,18,18,21,1,59,10,0,1,0,0,14,18,14,13,5,2,1,2,2212.74322999998,0,60,16,69,67,136,2400920.3247,7683.82352941176,14,18,14,13,7,5,4,1,0,1,0,0,2841.80539285715,2302.46502777775,1969.54122857142,1748.79233846147
"237","D","67","3",0.675324675324675,0.0447761194029851,20517,61723.5303000007,791.327311538471,2336370.6329,18,20,28,12,78,26,22,19,11,3,52,25,1,0,1,1,11,19,8,14,5,5,9,6,1002.85736,0,55,23,77,67,144,2400187.2829,7365.51724137931,12,19,9,15,11,1,6,5,0,0,0,0,1050.06007499998,1000.26773157894,965.38854444446,990.856673333344
"238","C","75","5",0.709677419354839,0.015625,20511,24471.3992000006,499.416310204094,2373622.7639,13,20,11,5,49,13,20,11,5,1,44,18,1,0,0,0,7,9,17,11,5,4,2,7,5292.41634318181,1,44,5,62,64,126,2400823.3192,7587.30158730159,6,9,17,11,3,3,0,0,2,0,0,0,9313.86605000001,6932.84098888888,4436.48905294117,2495.05178181814
"239","A","91","15",0.883116883116883,0.176470588235294,18916,104147.9569,1197.10295287356,2293943.2061,24,26,25,12,87,28,25,23,11,12,68,9,5,0,5,2,17,16,17,18,1,2,4,2,1954.03713582089,13,67,20,77,68,145,2400836.32,7500,15,10,21,20,13,3,3,2,7,6,1,0,3232.18486666666,1733.59915,1427.12925238094,1315.77525000001
"240","B","85","10",0.912280701754386,0.09375,20000,62751.5891000002,1459.33928139535,2335341.574,43,0,0,0,43,43,0,0,0,6,52,5,1,4,1,0,13,13,13,13,1,1,2,1,4061.09435517242,29,29,14,57,64,121,2400116.2788,7606.55737704918,7,8,6,7,4,4,5,2,7,9,8,6,5750.32894285714,3535.95222500002,2584.1478,4565.54685714285
"241","B","85","10",0.8,0.148148148148148,17560,93580.3527000003,1247.738036,2304512.8104,19,23,12,21,75,17,20,17,21,12,44,11,1,3,6,2,15,10,8,11,1,4,1,5,1445.82269399998,6,50,25,55,81,136,2400120.279,7729.92700729927,10,13,13,13,11,6,5,4,6,0,1,0,2505.94333999999,1214.06943846153,1177.75966153844,1145.14242307691
"242","A","91","15",0.931506849315068,0.232558139534884,18926,62426.5706999993,503.440086290317,2335665.5924,25,41,38,20,124,25,41,38,20,20,68,5,8,5,2,5,21,15,15,17,1,2,1,1,1666.75355949367,9,79,45,73,86,159,2400017.2732,7389.93710691824,25,15,16,22,12,12,9,13,4,5,1,0,2506.823384,1770.50128000001,1176.5672875,1030.87713636362
"243","D","67","3",0.610169491525424,0.0563380281690141,18803,72898.1694999989,1429.375872549,2325193.9936,19,24,4,4,51,19,24,4,4,4,36,23,1,1,0,2,8,8,8,12,5,6,4,8,1537.41292500003,0,40,11,59,71,130,2400260.2871,7381.67938931298,9,9,8,14,5,1,2,3,0,0,0,0,1417.52553333333,1613.53672222221,1340.82666250001,1677.88167142865
"244","C","75","5",0.727272727272727,0.0422535211267606,19778,103900.941699998,1049.50446161614,2294177.2205,26,42,13,18,99,36,39,9,15,3,56,21,0,0,1,2,16,12,13,15,5,5,7,4,1031.41493728814,0,59,40,77,71,148,2400793.3175,7506.75675675676,16,12,14,17,16,9,8,7,0,0,0,0,1074.06143749999,1087.97890833335,1036.77359285718,946.936535294113
"245","D","67","3",0.684931506849315,0.0163934426229508,17956,96281.5072000006,1851.56744615386,2301814.6561,8,25,12,7,52,4,48,0,0,1,50,23,1,0,0,0,8,13,18,11,6,6,7,4,1328.46813137256,0,51,1,73,61,134,2400188.2829,7437.03703703704,9,13,18,11,0,0,0,1,0,0,0,0,1516.08672222222,1269.3802846154,1231.07041111112,1404.17119090909
"246","C","75","5",0.75,0,17556,59865.4240999993,617.16932061855,2338229.7391,20,14,41,22,97,16,14,47,20,0,48,16,0,0,0,0,14,13,13,8,2,9,2,3,1059.393925,0,48,49,64,78,142,2400896.3234,7664.33566433566,14,13,13,8,15,13,12,9,0,0,0,0,1431.86761428572,888.89698461539,942.130815384641,875.175049999933
"247","B","85","10",0.915492957746479,0.0416666666666667,15714,190958.922499999,2246.57555882352,2207112.2394,3,11,66,5,85,5,13,60,6,3,65,6,0,1,0,2,15,12,18,20,0,5,0,1,1183.64345454544,2,66,19,71,72,143,2400251.2865,7538.46153846154,13,13,18,21,7,7,1,4,2,0,0,1,1539.70346153846,1157.91236923075,1137.56504999999,1028.48739999998
"248","A","91","15",0.940298507462687,0.1375,18824,89185.1013000002,857.54905096154,2308904.0616,20,15,44,25,104,22,14,44,24,11,63,4,4,0,1,6,17,13,16,17,0,3,0,1,2592.73652647059,6,68,36,67,80,147,2400814.3188,7594.5945945946,18,11,16,23,15,9,9,3,3,2,1,0,3482.53252777778,1489.26700000001,3032.04840624996,2118.51246956525
"249","B","85","10",0.892307692307692,0.0857142857142857,17367,188129.7607,2894.30401076924,2209964.4024,15,36,6,8,65,15,37,6,7,6,58,7,2,3,0,1,16,10,16,16,5,2,0,0,1793.18452786885,3,61,4,65,70,135,2400258.2869,7441.17647058824,18,12,16,15,3,1,0,0,0,1,0,2,2373.35797222222,1955.77853333336,1377.70380000003,1410.08063333328
"250","D","67","3",0.655172413793103,0.0434782608695652,19252,81522.6627000007,1772.2317978261,2316571.5004,12,12,15,7,46,11,11,17,7,3,38,20,0,1,1,1,6,11,8,13,5,4,6,5,2702.35968974357,2,39,7,58,69,127,2400116.2788,7460.9375,6,12,8,13,4,1,1,1,0,0,1,1,1829.43796666666,1952.36164166667,2519.39412499999,3910.14672307688
"251","C","75","5",0.757142857142857,0.0163934426229508,18803,123838.0832,1769.11547428572,2274256.0799,10,37,9,14,70,9,39,9,13,1,53,17,0,1,0,0,16,10,15,12,3,4,8,2,4078.85031489365,7,47,23,70,61,131,2400919.3247,7442.74809160305,10,10,15,12,5,4,7,7,6,1,0,0,5900.53750999999,3718.41267000004,4247.97629333339,2649.73488333338
